"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Синт-Мартен (нидерландская часть)","534","SXM","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Тринидад и Тобаго","780","TTO","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Острова Теркс и Кайкос","796","TCA","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","029","Карибский бассейн","Виргинские острова Соединенных Штатов","850","VIR","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","013","Центральная Америка","Белиз","084","BLZ","","","x","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","013","Центральная Америка","Коста-Рика","188","CRI","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","013","Центральная Америка","Сальвадор","222","SLV","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","013","Центральная Америка","Гватемала","320","GTM","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","013","Центральная Америка","Гондурас","340","HND","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","013","Центральная Америка","Мексика","484","MEX","","","","Developing"
"001","Весь мир","019","Северная и Южная Америка","419","Латинская Америка и Карибский бассейн","013","Центральная Америка","Никарагуа","558","NIC","","","","Developing"
