SURVEY NAME,FILE TYPE,FILE NAME,FILE FORMAT
"Armenia DHS-V, Standard DHS, 2005",Household Member Recode,AMPR54SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Household Recode,AMHR54DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Household Recode,AMHR54FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Household Recode,AMHR54SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-V, Standard DHS, 2005",Household Recode,AMHR54SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Individual Recode,AMIR54.ZIP,Hierarchical
"Armenia DHS-V, Standard DHS, 2005",Individual Recode,AMIR54DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Individual Recode,AMIR54FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Individual Recode,AMIR54SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-V, Standard DHS, 2005",Individual Recode,AMIR54SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-V, Standard DHS, 2005",Men's Recode,AMMR52.ZIP,Hierarchical
"Armenia DHS-V, Standard DHS, 2005",Men's Recode,AMMR52DT.ZIP,Stata dataset (.dta)
"Armenia DHS-V, Standard DHS, 2005",Men's Recode,AMMR52FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-V, Standard DHS, 2005",Men's Recode,AMMR52SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-V, Standard DHS, 2005",Men's Recode,AMMR52SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-VI, Standard DHS, 2010",Births Recode,AMBR61DT.ZIP,Stata dataset (.dta)
"Armenia DHS-VI, Standard DHS, 2010",Births Recode,AMBR61FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-VI, Standard DHS, 2010",Births Recode,AMBR61SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-VI, Standard DHS, 2010",Births Recode,AMBR61SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-VI, Standard DHS, 2010",Children's Recode,AMKR61DT.ZIP,Stata dataset (.dta)
"Armenia DHS-VI, Standard DHS, 2010",Children's Recode,AMKR61FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-VI, Standard DHS, 2010",Children's Recode,AMKR61SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-VI, Standard DHS, 2010",Children's Recode,AMKR61SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-VI, Standard DHS, 2010",Couples' Recode,AMCR61DT.ZIP,Stata dataset (.dta)
"Armenia DHS-VI, Standard DHS, 2010",Couples' Recode,AMCR61FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-VI, Standard DHS, 2010",Couples' Recode,AMCR61SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-VI, Standard DHS, 2010",Couples' Recode,AMCR61SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-VI, Standard DHS, 2010",Household Member Recode,AMPR61DT.ZIP,Stata dataset (.dta)
"Armenia DHS-VI, Standard DHS, 2010",Household Member Recode,AMPR61FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-VI, Standard DHS, 2010",Household Member Recode,AMPR61SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-VI, Standard DHS, 2010",Household Member Recode,AMPR61SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-VI, Standard DHS, 2010",Household Recode,AMHR61DT.ZIP,Stata dataset (.dta)
"Armenia DHS-VI, Standard DHS, 2010",Household Recode,AMHR61FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-VI, Standard DHS, 2010",Household Recode,AMHR61SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-VI, Standard DHS, 2010",Household Recode,AMHR61SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-VI, Standard DHS, 2010",Individual Recode,AMIR61.ZIP,Hierarchical
"Armenia DHS-VI, Standard DHS, 2010",Individual Recode,AMIR61DT.ZIP,Stata dataset (.dta)
"Armenia DHS-VI, Standard DHS, 2010",Individual Recode,AMIR61FL.ZIP,Flat ASCII data (.dat)
"Armenia DHS-VI, Standard DHS, 2010",Individual Recode,AMIR61SD.ZIP,SAS dataset (.sas7bdat)
"Armenia DHS-VI, Standard DHS, 2010",Individual Recode,AMIR61SV.ZIP,SPSS dataset (.sav)
"Armenia DHS-VI, Standard DHS, 2010",Men's Recode,AMMR61.ZIP,Hierarchical
"Armenia DHS-VI, Standard DHS, 2010",Men's Recode,AMMR61DT.ZIP,Stata dataset (.dta)
"Armenia DHS-VI, Standard DHS, 2010",Men's Recode,AMMR61FL.ZIP,Flat ASCII data (.dat)
